ts,node,s_temp_win_c,s_hum_win_pct,s_temp_out_c,s_hum_out_pct
1764310042.7671256,camera,AWAKE_IN_ROOM,0.8
1764310051.2408051,window,23.55,48.48,23.2,48.8
1764310052.7762568,camera,AWAKE_IN_ROOM,0.8
1764310061.2561963,window,23.55,48.47,23.2,48.6
1764310062.850934,camera,AWAKE_IN_ROOM,0.8
1764310071.2481368,window,23.54,48.46,23.2,48.5
1764310072.9361129,camera,AWAKE_IN_ROOM,0.8
1764310081.2597907,window,23.53,48.47,23.2,48.6
1764310083.0091758,camera,AWAKE_IN_ROOM,0.8
1764310091.2573538,window,23.53,48.47,23.2,48.6
1764310093.0134687,camera,AWAKE_IN_ROOM,0.8
1764310101.2620068,window,23.53,48.52,23.2,49.1
1764310103.087071,camera,AWAKE_IN_ROOM,0.8
1764310111.2694988,window,23.52,48.57,23.2,49.1
1764310113.095603,camera,AWAKE_IN_ROOM,0.8
1764310121.275264,window,23.53,48.64,23.2,49.3
1764310123.1554005,camera,AWAKE_IN_ROOM,0.8
1764310131.2780056,window,23.54,48.69,23.3,49.2
1764310133.1693044,camera,AWAKE_IN_ROOM,0.8
1764310141.282882,window,23.55,48.72,23.3,49.1
1764310143.1770747,camera,AWAKE_IN_ROOM,0.8
1764310151.2904053,window,23.56,48.76,23.3,49.1
1764310153.2555573,camera,AWAKE_IN_ROOM,0.8
1764310161.2950218,window,23.56,48.83,23.3,49.4
1764310163.329795,camera,IN_BED_LYING,0.8
1764310171.3041568,window,23.57,48.87,23.3,49.4
1764310173.3655124,camera,IN_BED_LYING,0.8
1764310181.3070323,window,23.57,48.89,23.3,49.2
1764310183.4412684,camera,IN_BED_LYING,0.8
1764310191.3156307,window,23.57,48.87,23.4,49.0
1764310193.443096,camera,IN_BED_LYING,0.8
1764310201.3194327,window,23.59,48.83,23.4,48.8
1764310203.5264893,camera,IN_BED_LYING,0.8
1764310211.3240335,window,23.61,48.8,23.4,48.7
1764310213.5983024,camera,IN_BED_LYING,0.8
1764310221.3312726,window,23.62,48.76,23.4,48.7
1764310223.6873724,camera,IN_BED_LYING,0.8
1764310231.3372893,window,23.63,48.73,23.4,48.9
1764310233.687788,camera,IN_BED_LYING,0.8
1764310241.3427343,window,23.64,48.71,23.4,48.7
1764310243.6890652,camera,AWAKE_IN_ROOM,0.8
1764310251.3488874,window,23.65,48.65,23.4,48.5
1764310253.7675183,camera,AWAKE_IN_ROOM,0.8
1764310261.363916,window,23.65,48.59,23.4,48.3
1764310263.8193996,camera,AWAKE_IN_ROOM,0.8
1764310271.3614342,window,23.66,48.52,23.4,48.2
1764310273.8309278,camera,AWAKE_IN_ROOM,0.8
1764310281.3742447,window,23.66,48.43,23.3,48.1
1764310283.8957555,camera,AWAKE_IN_ROOM,0.8
1764310291.3764424,window,23.67,48.38,23.3,48.3
1764310293.9275928,camera,AWAKE_IN_ROOM,0.8
1764310301.3820465,window,23.67,48.34,23.4,48.3
1764310303.9856725,camera,AWAKE_IN_ROOM,0.8
1764310311.3911438,window,23.68,48.32,23.4,48.4
1764310314.0010822,camera,AWAKE_IN_ROOM,0.8
1764310321.3938317,window,23.68,48.3,23.3,48.5
